ReportDate,Date,GEOID10,County,Active,Cases,Deaths,Recovered,TOT_POP,CS_RATE,DTH_RATE,REC_RATE,SOURCE,NCHS_DESC,ACT_RATE
11/03/2021,11/18/2021 11:00AM,40089.0,McCurtain,37,5742,129,5576,32832.0,17489.035087719298,392.90935672514615,16983.430799220274,OSDH,Noncore,112.69493177387913
11/03/2021,11/18/2021 11:00AM,40015.0,Caddo,26,5213,132,5055,28762.0,18124.608858911062,458.93887768583545,17575.272929559836,OSDH,Noncore,90.39705166539184
11/03/2021,11/18/2021 11:00AM,40039.0,Custer,64,5075,129,4882,29003.0,17498.189842430093,444.78157431989797,16832.741440540634,OSDH,Micropolitan,220.66682756956175
11/03/2021,11/18/2021 11:00AM,40081.0,Lincoln,44,4913,112,4757,34877.0,14086.647360724834,321.1285374315451,13639.361183588038,OSDH,Large fringe metro,126.15763970524989
11/03/2021,11/18/2021 11:00AM,40001.0,Adair,46,4901,62,4793,22194.0,22082.54483193656,279.35478057132553,21595.92682707038,OSDH,Noncore,207.26322429485447
11/03/2021,11/18/2021 11:00AM,40049.0,Garvin,57,4773,100,4616,27711.0,17224.206993612646,360.86752553137745,16657.644978528384,OSDH,Noncore,205.69448955288513
11/03/2021,11/18/2021 11:00AM,40139.0,Texas,53,4141,39,4049,19983.0,20722.614222088774,195.16589100735627,20262.22288945604,OSDH,Micropolitan,265.22544162538156
11/03/2021,11/18/2021 11:00AM,40065.0,Jackson,49,3949,86,3814,24530.0,16098.65470852018,350.5911129229515,15548.308194048104,OSDH,Micropolitan,199.75540154912355
11/03/2021,11/18/2021 11:00AM,40133.0,Seminole,34,3910,105,3771,24258.0,16118.393931898756,432.8468958694039,15545.387088795449,OSDH,Noncore,140.15994723390222
11/03/2021,11/18/2021 11:00AM,40153.0,Woodward,79,3899,51,3769,20211.0,19291.47493938944,252.33783583197268,18648.26084805304,OSDH,Micropolitan,390.8762555044283
11/03/2021,11/18/2021 11:00AM,40009.0,Beckham,78,3544,75,3391,21859.0,16213.001509675649,343.1081019259802,15513.060981746648,OSDH,Micropolitan,356.83242600301935
11/03/2021,11/18/2021 11:00AM,40035.0,Craig,37,3032,33,2962,14142.0,21439.683213124026,233.3474756045821,20944.70371941734,OSDH,Noncore,261.63201810210717
11/03/2021,11/18/2021 11:00AM,40091.0,McIntosh,24,2899,94,2781,19596.0,14793.835476627884,479.6897325984895,14191.67176974893,OSDH,Noncore,122.4739742804654
11/03/2021,11/18/2021 11:00AM,40005.0,Atoka,38,2790,35,2717,13758.0,20279.110335804624,254.39744148858844,19748.50995784271,OSDH,Noncore,276.2029364733246
11/03/2021,11/18/2021 11:00AM,40095.0,Marshall,19,2758,28,2711,16931.0,16289.646211092078,165.37711889433584,16012.048904376588,OSDH,Noncore,112.22018782115646
11/03/2021,11/18/2021 11:00AM,40023.0,Choctaw,17,2756,51,2688,14672.0,18784.078516902944,347.6008724100327,18320.6106870229,OSDH,Noncore,115.8669574700109
11/03/2021,11/18/2021 11:00AM,40117.0,Pawnee,28,2665,66,2571,16376.0,16273.81533952125,403.028822667318,15699.80459208598,OSDH,Medium metro,170.9819247679531
11/03/2021,11/18/2021 11:00AM,40099.0,Murray,27,2635,53,2555,14073.0,18723.797342428763,376.6076884814894,18155.332906985004,OSDH,Noncore,191.85674696226818
11/03/2021,11/18/2021 11:00AM,40073.0,Kingfisher,28,2612,54,2530,15765.0,16568.34760545512,342.5309229305423,16048.208055819854,OSDH,Noncore,177.60862670472565
11/03/2021,11/18/2021 11:00AM,40107.0,Okfuskee,23,2321,47,2251,11993.0,19352.95589093638,391.89527224214123,18769.28208121404,OSDH,Noncore,191.77853748019677
11/03/2021,11/18/2021 11:00AM,40085.0,Love,14,2001,29,1958,10253.0,19516.239149517216,282.844045645177,19096.849702526088,OSDH,Noncore,136.5454013459475
11/03/2021,11/18/2021 11:00AM,40069.0,Johnston,25,1975,47,1903,11085.0,17816.86964366261,423.99639152007217,17167.343256653134,OSDH,Noncore,225.52999548940008
11/03/2021,11/18/2021 11:00AM,40103.0,Noble,13,1903,30,1860,11131.0,17096.397448567066,269.5175635612254,16710.088940795977,OSDH,Noncore,116.79094420986435
11/03/2021,11/18/2021 11:00AM,40061.0,Haskell,14,1859,29,1816,12627.0,14722.420210659699,229.6665874712917,14381.880098202266,OSDH,Noncore,110.87352498614081
11/03/2021,11/18/2021 11:00AM,40127.0,Pushmataha,12,1805,40,1753,11096.0,16267.123287671235,360.4902667627974,15798.485940879598,OSDH,Noncore,108.14708002883921
11/03/2021,11/18/2021 11:00AM,40105.0,Nowata,8,1789,29,1752,10076.0,17755.061532354106,287.8126240571655,17387.85232235014,OSDH,Noncore,79.39658594680428
11/03/2021,11/18/2021 11:00AM,40063.0,Hughes,12,1744,44,1688,13279.0,13133.519090292944,331.350252278033,12711.800587393629,OSDH,Noncore,90.36825062128173
11/03/2021,11/18/2021 11:00AM,40151.0,Woods,12,1655,26,1617,8793.0,18821.79006027522,295.6897532127829,18389.628113271923,OSDH,Noncore,136.4721937905152
11/03/2021,11/18/2021 11:00AM,40149.0,Washita,36,1533,31,1466,10916.0,14043.605716379625,283.98680835470867,13429.82777574203,OSDH,Noncore,329.7911322828875
11/03/2021,11/18/2021 11:00AM,40011.0,Blaine,18,1516,30,1468,9429.0,16078.057058012515,318.1673560292714,15568.989288365681,OSDH,Noncore,190.90041361756283
