Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
74012,1604,20,1432,09/26/2020,62429,25.693187460955645,0.3203639334283746,152,2.4347658940556474,09/26/2020 11:00AM
73119,1292,16,1125,09/26/2020,32119,40.225411750054484,0.4981475139325633,151,4.701267162738566,09/26/2020 11:00AM
73942,1197,9,1057,09/26/2020,13454,88.96982310093652,0.6689460383529061,131,9.736881224914525,09/26/2020 11:00AM
74133,1160,7,1039,09/26/2020,46067,25.18071504547724,0.151952590791673,114,2.474656478607246,09/26/2020 11:00AM
73072,1154,15,1010,09/26/2020,46675,24.72415640064274,0.32137118371719336,129,2.763792179967863,09/26/2020 11:00AM
73099,1081,6,887,09/26/2020,68676,15.740578950433921,0.08736676568233444,188,2.7374919913798124,09/26/2020 11:00AM
74074,1041,3,886,09/26/2020,32812,31.726197732536875,0.09142996464708034,152,4.632451542118737,09/26/2020 11:00AM
73160,1017,13,861,09/26/2020,59401,17.120923890170197,0.21885153448595143,143,2.4073668793454654,09/26/2020 11:00AM
74136,991,17,908,09/26/2020,31835,31.129260248154548,0.5340034553164756,66,2.0731898853463173,09/26/2020 11:00AM
73071,964,9,814,09/26/2020,42656,22.59939984996249,0.21099024756189047,141,3.3055138784696174,09/26/2020 11:00AM
73109,866,7,771,09/26/2020,23144,37.41790528862772,0.30245419979260285,88,3.802281368821293,09/26/2020 11:00AM
73013,860,16,722,09/26/2020,52254,16.458070195583115,0.3061966548015463,122,2.3347494928617905,09/26/2020 11:00AM
74014,859,7,777,09/26/2020,40100,21.4214463840399,0.17456359102244387,75,1.8703241895261844,09/26/2020 11:00AM
73069,848,8,728,09/26/2020,24416,34.73132372214941,0.32765399737876805,112,4.587155963302752,09/26/2020 11:00AM
73841,847,1,26,09/26/2020,1329,637.32129420617,0.7524454477050414,820,617.0052671181339,09/26/2020 11:00AM
73159,837,6,714,09/26/2020,33816,24.751596877217885,0.177430801987225,117,3.459900638750887,09/26/2020 11:00AM
74055,833,2,730,09/26/2020,45378,18.356913041561988,0.044074220988144036,101,2.225748159901274,09/26/2020 11:00AM
73701,832,10,655,09/26/2020,23646,35.18565507908315,0.422904508162057,167,7.062505286306352,09/26/2020 11:00AM
