Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active
74012,1139,15,968,08/22/2020,62429,18.244726008745936,0.240272950071281,156
73119,942,10,803,08/22/2020,32119,29.32843488277966,0.31134219620785203,129
73942,890,7,871,08/22/2020,13454,66.15133045934294,0.5202913631633715,12
74133,808,5,690,08/22/2020,46067,17.539670479953113,0.108537564851195,113
74136,772,15,711,08/22/2020,31835,24.250039264959952,0.4711795193968902,46
73099,733,6,650,08/22/2020,68676,10.673306540858523,0.08736676568233444,77
73160,717,13,623,08/22/2020,59401,12.07050386357132,0.21885153448595143,81
73109,663,5,551,08/22/2020,23144,28.64673349464224,0.21603871413757345,107
74037,644,2,602,08/22/2020,18419,34.96389597698029,0.10858352787882079,40
73159,640,4,548,08/22/2020,33816,18.925952211970667,0.11828720132481665,88
73107,640,7,554,08/22/2020,25328,25.268477574226154,0.27637397346809855,79
73072,632,14,565,08/22/2020,46675,13.540439207284413,0.29994643813604716,53
74014,615,6,530,08/22/2020,40100,15.336658354114713,0.14962593516209474,79
73013,566,16,495,08/22/2020,52254,10.8317066636047,0.3061966548015463,55
73129,563,5,478,08/22/2020,19764,28.486136409633676,0.2529852256628213,80
73071,545,9,470,08/22/2020,42656,12.776631657914479,0.21099024756189047,66
74115,544,3,480,08/22/2020,23347,23.300638197627105,0.12849616653103182,61
74055,537,2,460,08/22/2020,45378,11.833928335316672,0.044074220988144036,75
74146,514,3,443,08/22/2020,16130,31.866088034717915,0.18598884066955984,68
73521,503,7,472,08/22/2020,20676,24.32772296382279,0.3385567808086671,24
74137,494,6,446,08/22/2020,28241,17.492298431358662,0.212457065967919,42
73112,489,11,416,08/22/2020,33335,14.669266536673167,0.32998350082495875,62
74017,483,18,352,08/22/2020,28375,17.022026431718064,0.6343612334801763,113
73120,474,13,402,08/22/2020,35771,13.250957479522517,0.36342288445947835,59
73127,472,4,418,08/22/2020,25134,18.779342723004696,0.15914697222885335,50
73170,469,12,391,08/22/2020,37699,12.440648293058171,0.3183108305260086,66
73108,463,0,396,08/22/2020,15156,30.54895750857746,0.0,67
74008,457,3,381,08/22/2020,28808,15.86364898639267,0.10413773951680089,73
74134,442,1,377,08/22/2020,16254,27.193306263073705,0.06152331733727083,64
74006,438,29,354,08/22/2020,27191,16.108271119120296,1.066529366334449,55
73034,433,1,379,08/22/2020,44647,9.69829999776021,0.022397921472887314,53
74011,423,5,364,08/22/2020,27969,15.123887160785156,0.17876935178233044,54
73012,418,0,389,08/22/2020,37639,11.10550227158001,0.0,29
74129,416,3,353,08/22/2020,19467,21.369497097652435,0.15410695022345508,60
74110,415,7,365,08/22/2020,14812,28.017823386443425,0.4725897920604915,43
74728,412,21,343,08/22/2020,11342,36.325163110562514,1.851525304179157,48
74464,408,2,308,08/22/2020,31404,12.991975544516622,0.06368615462998345,98
74105,407,4,349,08/22/2020,25046,16.25009981633794,0.15970614070110997,54
73069,394,8,338,08/22/2020,24416,16.136959370904325,0.32765399737876805,48
74074,388,2,334,08/22/2020,32812,11.824942094355725,0.06095330976472023,52
73701,373,4,252,08/22/2020,23646,15.774338154444727,0.1691618032648228,117
73162,364,10,300,08/22/2020,29747,12.236528053249067,0.3361683531112381,54
73132,363,4,298,08/22/2020,28199,12.872796907691763,0.14184900173765028,61
