Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
74012,1949,23,1695,10/18/2020,62429,31.21946531259511,0.3684185234426308,231,3.700203431097727,10/19/2020 11:00AM
73099,1626,7,1342,10/18/2020,68676,23.67639349991263,0.10192789329605685,277,4.033432349001107,10/19/2020 11:00AM
73119,1445,23,1301,10/18/2020,32119,44.98894735203462,0.7160870512780597,121,3.76724057411501,10/19/2020 11:00AM
74133,1418,10,1248,10/18/2020,46067,30.7812533917989,0.21707512970239,160,3.47320207523824,10/19/2020 11:00AM
73072,1403,16,1235,10/18/2020,46675,30.058918050348154,0.3427959292983396,152,3.256561328334226,10/19/2020 11:00AM
73942,1361,10,1281,10/18/2020,13454,101.15950646647836,0.7432733759476735,70,5.202913631633715,10/19/2020 11:00AM
73160,1347,14,1138,10/18/2020,59401,22.676385919428967,0.23568626790794767,195,3.282773017289271,10/19/2020 11:00AM
74074,1232,5,1138,10/18/2020,32812,37.54723881506766,0.15238327441180058,89,2.71242228453005,10/19/2020 11:00AM
73071,1213,11,1054,10/18/2020,42656,28.436796699174796,0.25787696924231057,148,3.4696174043510877,10/19/2020 11:00AM
74136,1153,18,1030,10/18/2020,31835,36.21799905764096,0.5654154232762683,105,3.2982566357782317,10/19/2020 11:00AM
73013,1123,18,950,10/18/2020,52254,21.491177708883534,0.3444712366517396,155,2.9662800933899796,10/19/2020 11:00AM
73170,1093,18,904,10/18/2020,37699,28.992811480410623,0.477466245789013,171,4.535929334995624,10/19/2020 11:00AM
74055,1080,3,922,10/18/2020,45378,23.80007933359778,0.06611133148221605,155,3.415752126581163,10/19/2020 11:00AM
74014,1069,7,934,10/18/2020,40100,26.658354114713216,0.17456359102244387,128,3.1920199501246884,10/19/2020 11:00AM
73701,1054,13,901,10/18/2020,23646,44.57413516028081,0.5497758606106742,140,5.920663114268798,10/19/2020 11:00AM
73069,1019,10,900,10/18/2020,24416,41.734927916120576,0.40956749672346,109,4.464285714285714,10/19/2020 11:00AM
73034,1014,3,851,10/18/2020,44647,22.71149237350774,0.06719376441866194,160,3.5836674356619707,10/19/2020 11:00AM
73109,1002,8,898,10/18/2020,23144,43.29415831316972,0.3456619426201175,96,4.14794331144141,10/19/2020 11:00AM
73159,991,6,881,10/18/2020,33816,29.305654128223324,0.177430801987225,104,3.0754672344452327,10/19/2020 11:00AM
73703,973,10,788,10/18/2020,30331,32.07939072236326,0.3296956908773202,175,5.7696745903531035,10/19/2020 11:00AM
