Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
73099,12301,105,11976,10/06/2021,68676,179.11643077639934,1.5289183994408528,220,3.2034480750189296,10/06/2021 11:00AM
74012,10449,160,10044,10/06/2021,62429,167.37413701965434,2.562911467426997,245,3.9244581844975897,10/06/2021 11:00AM
73160,9402,87,9068,10/06/2021,59401,158.28016363360885,1.464621807713675,247,4.158179155233077,10/06/2021 11:00AM
74055,7641,110,7392,10/06/2021,45378,168.3855612852043,2.424082154347922,139,3.0631583586760103,10/06/2021 11:00AM
73013,7309,81,7076,10/06/2021,52254,139.87445937153137,1.550120564932828,152,2.90886822061469,10/06/2021 11:00AM
74133,7292,105,7031,10/06/2021,46067,158.29118457898278,2.279288861875095,156,3.386372023357284,10/06/2021 11:00AM
74014,6992,73,6789,10/06/2021,40100,174.3640897755611,1.8204488778054861,130,3.2418952618453862,10/06/2021 11:00AM
73505,6927,122,6632,10/06/2021,48713,142.20023402377188,2.5044649272268185,173,3.5514133804117995,10/06/2021 11:00AM
73072,6913,88,6698,10/06/2021,46675,148.10926620246383,1.8853776111408678,127,2.7209426888055703,10/06/2021 11:00AM
73170,6750,111,6528,10/06/2021,37699,179.04984217087986,2.94437518236558,111,2.94437518236558,10/06/2021 11:00AM
73401,6432,100,6213,10/06/2021,35952,178.90520694259013,2.7814864263462393,119,3.309968847352025,10/06/2021 11:00AM
73071,6148,75,5931,10/06/2021,42656,144.1297824456114,1.7582520630157539,142,3.3289572393098275,10/06/2021 11:00AM
73034,6077,57,5898,10/06/2021,44647,136.11216879073623,1.276681523954577,122,2.7325464196922526,10/06/2021 11:00AM
74464,5925,61,5723,10/06/2021,31404,188.67023309132594,1.942427716214495,141,4.489873901413833,10/06/2021 11:00AM
74820,5322,75,5139,10/06/2021,31480,169.0597204574333,2.3824650571791612,108,3.4307496823379924,10/06/2021 11:00AM
73119,5239,90,5040,10/06/2021,32119,163.1121765932937,2.802079765870668,109,3.3936299386655877,10/06/2021 11:00AM
