Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
73099,6146,18,5482,01/04/2021,68676,89.49269031393791,0.2621002970470033,646,9.406488438464676,01/04/2021 11:00AM
74012,5104,51,4435,01/04/2021,62429,81.75687581092122,0.8169280302423554,618,9.899245542936777,01/04/2021 11:00AM
73160,4408,24,3807,01/04/2021,59401,74.20750492415952,0.4040336021279103,577,9.713641184491843,01/04/2021 11:00AM
73013,3696,33,3245,01/04/2021,52254,70.7314272591572,0.6315306005281892,418,7.999387606690398,01/04/2021 11:00AM
73072,3652,29,3244,01/04/2021,46675,78.24317086234602,0.6213176218532405,379,8.119978575254418,01/04/2021 11:00AM
74055,3639,14,3102,01/04/2021,45378,80.19304508792807,0.3085195469170083,523,11.525408788399666,01/04/2021 11:00AM
74133,3564,30,3095,01/04/2021,46067,77.36557622593179,0.65122538910717,439,9.52959819393492,01/04/2021 11:00AM
73170,3525,33,3029,01/04/2021,37699,93.50380646701505,0.8753547839465238,463,12.281492877795166,01/04/2021 11:00AM
74014,3278,19,2863,01/04/2021,40100,81.74563591022444,0.47381546134663344,396,9.875311720698255,01/04/2021 11:00AM
73034,3063,11,2737,01/04/2021,44647,68.60483347145386,0.24637713620176047,315,7.055345263959505,01/04/2021 11:00AM
73071,3061,38,2689,01/04/2021,42656,71.76012753188297,0.8908477119279821,334,7.830082520630158,01/04/2021 11:00AM
73119,2995,30,2695,01/04/2021,32119,93.2469877642517,0.9340265886235561,270,8.406239297612006,01/04/2021 11:00AM
73159,2740,10,2416,01/04/2021,33816,81.02673290749941,0.2957180033120417,314,9.285545303998108,01/04/2021 11:00AM
74464,2728,12,2291,01/04/2021,31404,86.8679149152974,0.38211692777990064,425,13.533307858871481,01/04/2021 11:00AM
74820,2667,22,2261,01/04/2021,31480,84.72045743329097,0.6988564167725541,384,12.198221092757306,01/04/2021 11:00AM
73505,2649,25,2291,01/04/2021,48713,54.37973436249051,0.5132100260710692,333,6.835957547266643,01/04/2021 11:00AM
73703,2620,14,2385,01/04/2021,30331,86.3802710098579,0.46157396722824834,221,7.286274768388777,01/04/2021 11:00AM
74074,2530,10,2254,01/04/2021,32812,77.10593685237109,0.30476654882360116,266,8.10679019870779,01/04/2021 11:00AM
73012,2506,8,2218,01/04/2021,37639,66.5798772549749,0.21254549802067005,280,7.439092430723452,01/04/2021 11:00AM
73120,2490,34,2175,01/04/2021,35771,69.60946017723855,0.9504906208940204,281,7.855525425624109,01/04/2021 11:00AM
74017,2487,58,2068,01/04/2021,28375,87.64757709251101,2.0440528634361232,361,12.722466960352422,01/04/2021 11:00AM
74011,2475,14,2110,01/04/2021,27969,88.49082913225357,0.5005541849905253,351,12.549608495119596,01/04/2021 11:00AM
74701,2418,19,2072,01/04/2021,25267,95.69794593738868,0.7519689713856017,327,12.941781770689042,01/04/2021 11:00AM
74403,2341,26,1960,01/04/2021,30573,76.57083047133091,0.8504235763582246,355,11.611552677198835,01/04/2021 11:00AM
74008,2316,16,2060,01/04/2021,28808,80.39433490697029,0.5554012774229381,240,8.33101916134407,01/04/2021 11:00AM
