Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,Date
74012,1170,16,999,08/25/2020,62429,18.741290105559916,0.2562911467426997,155,08/25/2020 11:00AM
73119,963,10,831,08/25/2020,32119,29.982253494816153,0.31134219620785203,122,08/25/2020 11:00AM
73942,902,7,875,08/25/2020,13454,67.04325851048016,0.5202913631633715,20,08/25/2020 11:00AM
74133,821,5,713,08/25/2020,46067,17.82186814856622,0.108537564851195,103,08/25/2020 11:00AM
74136,788,15,724,08/25/2020,31835,24.752630752316634,0.4711795193968902,49,08/25/2020 11:00AM
73099,744,6,659,08/25/2020,68676,10.833478944609471,0.08736676568233444,79,08/25/2020 11:00AM
73160,739,13,639,08/25/2020,59401,12.440867998855238,0.21885153448595143,87,08/25/2020 11:00AM
73109,674,5,567,08/25/2020,23144,29.122018665744903,0.21603871413757345,102,08/25/2020 11:00AM
74037,654,2,610,08/25/2020,18419,35.506813616374394,0.10858352787882079,42,08/25/2020 11:00AM
73107,653,7,566,08/25/2020,25328,25.781743524952624,0.27637397346809855,80,08/25/2020 11:00AM
73159,652,4,569,08/25/2020,33816,19.280813815945116,0.11828720132481665,79,08/25/2020 11:00AM
73072,635,14,574,08/25/2020,46675,13.604713444027851,0.29994643813604716,47,08/25/2020 11:00AM
74014,635,6,541,08/25/2020,40100,15.835411471321693,0.14962593516209474,88,08/25/2020 11:00AM
73013,576,16,507,08/25/2020,52254,11.023079572855668,0.3061966548015463,53,08/25/2020 11:00AM
73129,567,5,497,08/25/2020,19764,28.688524590163937,0.2529852256628213,65,08/25/2020 11:00AM
74115,560,3,494,08/25/2020,23347,23.985951085792607,0.12849616653103182,63,08/25/2020 11:00AM
73071,557,9,480,08/25/2020,42656,13.057951987996999,0.21099024756189047,68,08/25/2020 11:00AM
74055,547,2,475,08/25/2020,45378,12.054299440257394,0.044074220988144036,70,08/25/2020 11:00AM
74146,525,3,458,08/25/2020,16130,32.54804711717297,0.18598884066955984,64,08/25/2020 11:00AM
73521,512,7,477,08/25/2020,20676,24.763010253433933,0.3385567808086671,28,08/25/2020 11:00AM
74137,500,6,450,08/25/2020,28241,17.70475549732658,0.212457065967919,44,08/25/2020 11:00AM
74017,493,24,364,08/25/2020,28375,17.374449339207047,0.8458149779735683,105,08/25/2020 11:00AM
73112,489,11,430,08/25/2020,33335,14.669266536673167,0.32998350082495875,48,08/25/2020 11:00AM
73120,485,13,420,08/25/2020,35771,13.55846915098823,0.36342288445947835,52,08/25/2020 11:00AM
73127,482,4,426,08/25/2020,25134,19.17721015357683,0.15914697222885335,52,08/25/2020 11:00AM
73170,478,12,406,08/25/2020,37699,12.679381415952678,0.3183108305260086,60,08/25/2020 11:00AM
73108,472,0,406,08/25/2020,15156,31.142781736605965,0.0,66,08/25/2020 11:00AM
74008,466,3,399,08/25/2020,28808,16.176062204943072,0.10413773951680089,64,08/25/2020 11:00AM
74134,454,1,385,08/25/2020,16254,27.931586071120954,0.06152331733727083,68,08/25/2020 11:00AM
74105,446,4,357,08/25/2020,25046,17.80723468817376,0.15970614070110997,85,08/25/2020 11:00AM
74006,445,29,366,08/25/2020,27191,16.36570924202861,1.066529366334449,50,08/25/2020 11:00AM
73034,442,1,389,08/25/2020,44647,9.899881291016193,0.022397921472887314,52,08/25/2020 11:00AM
74011,431,5,375,08/25/2020,27969,15.409918123636883,0.17876935178233044,51,08/25/2020 11:00AM
73012,426,0,399,08/25/2020,37639,11.31804776960068,0.0,27,08/25/2020 11:00AM
74129,426,3,358,08/25/2020,19467,21.883186931730624,0.15410695022345508,65,08/25/2020 11:00AM
74110,421,7,367,08/25/2020,14812,28.4229003510667,0.4725897920604915,47,08/25/2020 11:00AM
74464,418,3,317,08/25/2020,31404,13.310406317666539,0.09552923194497516,98,08/25/2020 11:00AM
74728,412,21,344,08/25/2020,11342,36.325163110562514,1.851525304179157,47,08/25/2020 11:00AM
74074,412,2,344,08/25/2020,32812,12.556381811532365,0.06095330976472023,66,08/25/2020 11:00AM
73069,407,8,355,08/25/2020,24416,16.669397116644824,0.32765399737876805,44,08/25/2020 11:00AM
73701,406,4,261,08/25/2020,23646,17.169923031379515,0.1691618032648228,141,08/25/2020 11:00AM
74145,373,1,298,08/25/2020,18580,20.07534983853606,0.05382131324004306,74,08/25/2020 11:00AM
74501,368,11,279,08/25/2020,28016,13.135351227869789,0.39263278126784695,78,08/25/2020 11:00AM
73503,367,1,175,08/25/2020,10882,33.72541812166882,0.09189487226612754,191,08/25/2020 11:00AM
73162,367,10,321,08/25/2020,29747,12.337378559182438,0.3361683531112381,36,08/25/2020 11:00AM
73132,367,5,308,08/25/2020,28199,13.014645909429412,0.17731125217206284,54,08/25/2020 11:00AM
74128,359,4,323,08/25/2020,13005,27.60476739715494,0.30757400999615536,32,08/25/2020 11:00AM
73102,358,1,263,08/25/2020,4996,71.65732586068856,0.20016012810248196,94,08/25/2020 11:00AM
73139,354,6,312,08/25/2020,17563,20.15600979331549,0.341627284632466,36,08/25/2020 11:00AM
74112,348,6,301,08/25/2020,20892,16.65709362435382,0.2871912693854107,41,08/25/2020 11:00AM
74701,342,1,291,08/25/2020,25267,13.535441484940833,0.03957731428345273,50,08/25/2020 11:00AM
74066,338,6,299,08/25/2020,33041,10.229714597015828,0.1815925668109319,33,08/25/2020 11:00AM
73703,338,5,213,08/25/2020,30331,11.143714351653424,0.1648478454386601,120,08/25/2020 11:00AM
74135,333,10,294,08/25/2020,20849,15.971989064223704,0.47963931123794906,29,08/25/2020 11:00AM
