Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
74012,1521,19,1350,09/19/2020,62429,24.363677137227892,0.3043457367569559,152,2.4347658940556474,09/19/2020 11:00AM
73119,1223,13,1050,09/19/2020,32119,38.07715059622031,0.4047448550702077,160,4.9814751393256325,09/19/2020 11:00AM
73942,1107,8,1002,09/19/2020,13454,82.28036271740746,0.5946187007581388,97,7.209751746692433,09/19/2020 11:00AM
74133,1081,6,966,09/19/2020,46067,23.465821520828356,0.130245077821434,109,2.366118913756051,09/19/2020 11:00AM
73072,1079,15,911,09/19/2020,46675,23.117300482056777,0.32137118371719336,153,3.2779860739153723,09/19/2020 11:00AM
74074,962,3,766,09/19/2020,32812,29.318541996830426,0.09142996464708034,193,5.881994392295502,09/19/2020 11:00AM
74136,962,17,860,09/19/2020,31835,30.218313177320557,0.5340034553164756,85,2.670017276582378,09/19/2020 11:00AM
73099,941,6,827,09/19/2020,68676,13.702021084512785,0.08736676568233444,108,1.5726017822820197,09/19/2020 11:00AM
73160,937,13,800,09/19/2020,59401,15.774145216410497,0.21885153448595143,124,2.0875069443275365,09/19/2020 11:00AM
73071,894,9,724,09/19/2020,42656,20.958364591147788,0.21099024756189047,161,3.7743810952738186,09/19/2020 11:00AM
73109,823,7,741,09/19/2020,23144,35.55997234704459,0.30245419979260285,75,3.240580712063602,09/19/2020 11:00AM
74014,820,7,735,09/19/2020,40100,20.448877805486283,0.17456359102244387,78,1.945137157107232,09/19/2020 11:00AM
73069,777,8,637,09/19/2020,24416,31.823394495412842,0.32765399737876805,132,5.406290956749673,09/19/2020 11:00AM
73013,776,16,668,09/19/2020,52254,14.850537757874996,0.3061966548015463,92,1.7606307651088913,09/19/2020 11:00AM
73107,776,7,679,09/19/2020,25328,30.63802905874921,0.27637397346809855,90,3.553379658875553,09/19/2020 11:00AM
74037,774,3,717,09/19/2020,18419,42.021825289103646,0.16287529181823115,54,2.9317552527281614,09/19/2020 11:00AM
73159,773,6,668,09/19/2020,33816,22.85900165602082,0.177430801987225,99,2.927608232789212,09/19/2020 11:00AM
74055,773,2,675,09/19/2020,45378,17.03468641191767,0.044074220988144036,96,2.1155626074309137,09/19/2020 11:00AM
74463,748,2,695,09/19/2020,2145,348.7179487179487,0.9324009324009324,51,23.776223776223777,09/19/2020 11:00AM
73701,747,9,579,09/19/2020,23646,31.59096675970566,0.3806140573458513,159,6.724181679776707,09/19/2020 11:00AM
74464,705,3,537,09/19/2020,31404,22.449369507069164,0.09552923194497516,165,5.254107756973634,09/19/2020 11:00AM
74137,699,6,614,09/19/2020,28241,24.75124818526256,0.212457065967919,79,2.7973513685776,09/19/2020 11:00AM
74017,681,39,531,09/19/2020,28375,24.0,1.3744493392070485,111,3.911894273127753,09/19/2020 11:00AM
73170,671,13,536,09/19/2020,37699,17.79888060691265,0.3448367330698427,122,3.2361601103477544,09/19/2020 11:00AM
73129,660,8,592,09/19/2020,19764,33.39404978749241,0.40477636106051407,60,3.0358227079538556,09/19/2020 11:00AM
74115,652,3,613,09/19/2020,23347,27.92650019274425,0.12849616653103182,36,1.541953998372382,09/19/2020 11:00AM
73034,641,2,538,09/19/2020,44647,14.35706766412077,0.04479584294577463,101,2.262190068761619,09/19/2020 11:00AM
73703,628,9,506,09/19/2020,30331,20.70488938709571,0.29672612178958824,113,3.7255613069137183,09/19/2020 11:00AM
73521,619,10,575,09/19/2020,20676,29.938092474366414,0.4836525440123815,34,1.6444186496420972,09/19/2020 11:00AM
73120,618,19,527,09/19/2020,35771,17.276564815073662,0.531156523440776,72,2.0128036677755725,09/19/2020 11:00AM
74501,617,14,436,09/19/2020,28016,22.023129640205596,0.4997144488863507,167,5.9608794974300405,09/19/2020 11:00AM
74008,614,4,542,09/19/2020,28808,21.31352402110525,0.13885031935573452,68,2.360455429047487,09/19/2020 11:00AM
74146,613,3,585,09/19/2020,16130,38.00371977681339,0.18598884066955984,25,1.5499070055796653,09/19/2020 11:00AM
73127,591,4,506,09/19/2020,25134,23.51396514681308,0.15914697222885335,81,3.22272618763428,09/19/2020 11:00AM
74134,584,3,534,09/19/2020,16254,35.92961732496616,0.18456995201181248,47,2.8915959148517287,09/19/2020 11:00AM
73112,581,12,503,09/19/2020,33335,17.42912854357282,0.35998200089995497,66,1.9799010049497525,09/19/2020 11:00AM
74006,576,29,516,09/19/2020,27191,21.183479827884227,1.066529366334449,31,1.1400831157368247,09/19/2020 11:00AM
74011,575,6,506,09/19/2020,27969,20.558475454968,0.21452322213879652,63,2.2524938324573633,09/19/2020 11:00AM
73108,557,0,497,09/19/2020,15156,36.751121667986276,0.0,60,3.95882818685669,09/19/2020 11:00AM
74105,552,4,499,09/19/2020,25046,22.039447416753173,0.15970614070110997,49,1.9564002235885969,09/19/2020 11:00AM
73012,550,0,496,09/19/2020,37639,14.612502988921065,0.0,54,1.4346821116395228,09/19/2020 11:00AM
74129,517,4,480,09/19/2020,19467,26.55776442184209,0.20547593363127345,33,1.6951764524580057,09/19/2020 11:00AM
74701,507,1,407,09/19/2020,25267,20.065698341710533,0.03957731428345273,99,3.91815411406182,09/19/2020 11:00AM
74728,506,21,426,09/19/2020,11342,44.61294304355493,1.851525304179157,59,5.201904426027156,09/19/2020 11:00AM
74110,497,11,463,09/19/2020,14812,33.5538752362949,0.7426411018093437,23,1.5527950310559004,09/19/2020 11:00AM
74075,487,1,382,09/19/2020,24891,19.56530472861677,0.040175163713792136,104,4.178217026234382,09/19/2020 11:00AM
73102,486,2,416,09/19/2020,4996,97.27782225780625,0.4003202562049639,68,13.610888710968775,09/19/2020 11:00AM
73132,473,6,408,09/19/2020,28199,16.773644455477143,0.2127735026064754,59,2.0922727756303416,09/19/2020 11:00AM
73162,467,13,400,09/19/2020,29747,15.69906209029482,0.4370188590446095,54,1.8153091068006857,09/19/2020 11:00AM
74066,459,9,386,09/19/2020,33041,13.891831361036289,0.2723888502163978,64,1.9369873793166066,09/19/2020 11:00AM
74145,455,1,421,09/19/2020,18580,24.488697524219592,0.05382131324004306,33,1.776103336921421,09/19/2020 11:00AM
73018,447,5,284,09/19/2020,20214,22.113386761650343,0.24735331948154746,158,7.816364895616899,09/19/2020 11:00AM
