Zip,Cases,Deaths,Recovered,ReportDate
73043,2,0,2,08/21/2020
73747,2,0,2,08/21/2020
73033,2,0,2,08/21/2020
74843,2,0,2,08/21/2020
73749,2,0,1,08/21/2020
73455,2,0,2,08/21/2020
73556,2,0,2,08/21/2020
74844,2,0,2,08/21/2020
74644,2,0,2,08/21/2020
73650,2,0,1,08/21/2020
73744,2,0,2,08/21/2020
74071,2,0,2,08/21/2020
74652,2,0,1,08/21/2020
73564,2,0,2,08/21/2020
73056,2,0,2,08/21/2020
74754,2,0,2,08/21/2020
74572,2,0,2,08/21/2020
73743,2,0,2,08/21/2020
73718,2,0,2,08/21/2020
74760,2,0,2,08/21/2020
73654,2,0,2,08/21/2020
74456,2,0,2,08/21/2020
74045,1,0,1,08/21/2020
73622,1,0,1,08/21/2020
74650,1,0,1,08/21/2020
73947,1,0,1,08/21/2020
73753,1,0,1,08/21/2020
73729,1,0,1,08/21/2020
73728,1,0,0,08/21/2020
73843,1,0,1,08/21/2020
73761,1,0,1,08/21/2020
74943,1,0,0,08/21/2020
74837,1,0,0,08/21/2020
74949,1,0,1,08/21/2020
74438,1,0,0,08/21/2020
73557,1,0,1,08/21/2020
73646,1,0,0,08/21/2020
73444,1,0,0,08/21/2020
73021,1,0,1,08/21/2020
73658,1,0,0,08/21/2020
73705,1,0,1,08/21/2020
73857,1,0,1,08/21/2020
74831,1,0,0,08/21/2020
74750,1,0,1,08/21/2020
73851,1,0,0,08/21/2020
74026,1,0,1,08/21/2020
73736,1,0,0,08/21/2020
73739,1,0,0,08/21/2020
73567,1,0,0,08/21/2020
73442,1,0,1,08/21/2020
74540,1,0,0,08/21/2020
73041,1,0,1,08/21/2020
74535,1,0,1,08/21/2020
73434,1,0,1,08/21/2020
73841,1,0,1,08/21/2020
73528,1,0,1,08/21/2020
74522,1,0,0,08/21/2020
73661,1,0,1,08/21/2020
74856,1,0,1,08/21/2020
73722,1,0,1,08/21/2020
