Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
74012,1298,17,1121,09/03/2020,62429,20.791619279501514,0.2723093434141184,160,2.562911467426997,09/03/2020 11:00AM
73119,1031,11,917,09/03/2020,32119,32.099380429029544,0.34247641582863725,103,3.206824620940876,09/03/2020 11:00AM
73942,947,7,889,09/03/2020,13454,70.3879887022447,0.5202913631633715,51,3.7906942173331353,09/03/2020 11:00AM
74133,906,5,804,09/03/2020,46067,19.66700675103653,0.108537564851195,97,2.1056287581131827,09/03/2020 11:00AM
74136,844,15,758,09/03/2020,31835,26.511700958065024,0.4711795193968902,71,2.2302497251452804,09/03/2020 11:00AM
73099,791,7,719,09/03/2020,68676,11.517851942454424,0.10192789329605685,65,0.9464732948919564,09/03/2020 11:00AM
73160,786,13,694,09/03/2020,59401,13.232100469689062,0.21885153448595143,79,1.3299439403377047,09/03/2020 11:00AM
73072,754,14,609,09/03/2020,46675,16.154258168184253,0.29994643813604716,131,2.8066416711301554,09/03/2020 11:00AM
73109,729,5,633,09/03/2020,23144,31.49844452125821,0.21603871413757345,91,3.9319045973038365,09/03/2020 11:00AM
74014,706,6,611,09/03/2020,40100,17.605985037406484,0.14962593516209474,89,2.2194513715710724,09/03/2020 11:00AM
73107,689,7,617,09/03/2020,25328,27.20309538850284,0.27637397346809855,65,2.5663297536323437,09/03/2020 11:00AM
74037,683,2,638,09/03/2020,18419,37.0812747706173,0.10858352787882079,43,2.334545849394647,09/03/2020 11:00AM
74463,681,0,33,09/03/2020,2145,317.4825174825175,0.0,648,302.0979020979021,09/03/2020 11:00AM
73159,675,6,613,09/03/2020,33816,19.960965223562813,0.177430801987225,56,1.6560208185474332,09/03/2020 11:00AM
73013,636,16,549,09/03/2020,52254,12.171317028361464,0.3061966548015463,71,1.3587476556818616,09/03/2020 11:00AM
73071,634,9,534,09/03/2020,42656,14.863090772693173,0.21099024756189047,91,2.1333458364591147,09/03/2020 11:00AM
74055,628,2,535,09/03/2020,45378,13.839305390277227,0.044074220988144036,91,2.0053770549605536,09/03/2020 11:00AM
73129,601,6,536,09/03/2020,19764,30.408824124671117,0.3035822707953856,59,2.985225662821291,09/03/2020 11:00AM
74115,601,3,543,09/03/2020,23347,25.742065361716712,0.12849616653103182,55,2.355763053068917,09/03/2020 11:00AM
74074,597,2,402,09/03/2020,32812,18.194562964768988,0.06095330976472023,193,5.881994392295502,09/03/2020 11:00AM
74137,578,6,485,09/03/2020,28241,20.466697354909527,0.212457065967919,87,3.0806274565348253,09/03/2020 11:00AM
74146,562,3,519,09/03/2020,16130,34.841909485430875,0.18598884066955984,40,2.4798512089274642,09/03/2020 11:00AM
74017,551,34,428,09/03/2020,28375,19.41850220264317,1.198237885462555,89,3.1365638766519823,09/03/2020 11:00AM
73521,539,9,502,09/03/2020,20676,26.06887212226736,0.4352872896111434,28,1.3542271232346683,09/03/2020 11:00AM
73701,536,5,368,09/03/2020,23646,22.667681637486258,0.2114522540810285,163,6.893343483041529,09/03/2020 11:00AM
73120,525,15,454,09/03/2020,35771,14.67669341086355,0.41933409745324424,56,1.5655139638254452,09/03/2020 11:00AM
73170,524,13,450,09/03/2020,37699,13.899572932969045,0.3448367330698427,61,1.6180800551738772,09/03/2020 11:00AM
74008,520,4,453,09/03/2020,28808,18.050541516245488,0.13885031935573452,63,2.1868925298528183,09/03/2020 11:00AM
74464,519,3,380,09/03/2020,31404,16.5265571264807,0.09552923194497516,136,4.330658514838874,09/03/2020 11:00AM
74134,509,2,441,09/03/2020,16254,31.315368524670852,0.12304663467454166,66,4.060538944259874,09/03/2020 11:00AM
73112,506,11,460,09/03/2020,33335,15.179241037948103,0.32998350082495875,35,1.0499475026248686,09/03/2020 11:00AM
73108,502,0,442,09/03/2020,15156,33.122195830034315,0.0,60,3.95882818685669,09/03/2020 11:00AM
73127,502,4,459,09/03/2020,25134,19.972945014721095,0.15914697222885335,39,1.55168297923132,09/03/2020 11:00AM
73034,500,1,426,09/03/2020,44647,11.19896073644366,0.022397921472887314,73,1.635048267520774,09/03/2020 11:00AM
73069,497,8,394,09/03/2020,24416,20.355504587155963,0.32765399737876805,95,3.8908912188728704,09/03/2020 11:00AM
74006,494,29,416,09/03/2020,27191,18.167776102386817,1.066529366334449,49,1.8020668603582066,09/03/2020 11:00AM
74105,480,4,432,09/03/2020,25046,19.164736884133195,0.15970614070110997,44,1.7567675477122096,09/03/2020 11:00AM
74011,479,5,418,09/03/2020,27969,17.126103900747253,0.17876935178233044,56,2.002216739962101,09/03/2020 11:00AM
74129,471,3,407,09/03/2020,19467,24.194791185082448,0.15410695022345508,61,3.1335079878769196,09/03/2020 11:00AM
73012,459,0,421,09/03/2020,37639,12.194797948935944,0.0,38,1.0095911155981827,09/03/2020 11:00AM
74110,457,7,409,09/03/2020,14812,30.853362138806375,0.4725897920604915,41,2.7680259249257357,09/03/2020 11:00AM
