Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
73099,6717,21,5902,01/11/2021,68676,97.8070941813734,0.30578367988817057,794,11.56153532529559,01/12/2021 11:00AM
74012,5544,55,4767,01/11/2021,62429,88.80488234634545,0.8810008169280302,722,11.565137996764323,01/12/2021 11:00AM
73160,4879,25,4196,01/11/2021,59401,82.13666436591977,0.42086833554990655,658,11.077254591673542,01/12/2021 11:00AM
73013,4162,35,3629,01/11/2021,52254,79.64940483025224,0.6698051823783826,498,9.530370880698129,01/12/2021 11:00AM
74055,3969,20,3362,01/11/2021,45378,87.46529155097184,0.44074220988144036,587,12.935783860020274,01/12/2021 11:00AM
73072,3959,30,3445,01/11/2021,46675,84.8205677557579,0.6427423674343867,484,10.369576861274773,01/12/2021 11:00AM
74133,3869,38,3320,01/11/2021,46067,83.98636768185469,0.824885492869082,511,11.09253912779213,01/12/2021 11:00AM
73170,3822,34,3298,01/11/2021,37699,101.38199952253375,0.9018806864903578,490,12.997692246478687,01/12/2021 11:00AM
74014,3566,21,3102,01/11/2021,40100,88.92768079800499,0.5236907730673317,443,11.047381546134664,01/12/2021 11:00AM
73034,3441,11,3027,01/11/2021,44647,77.07124778820526,0.24637713620176047,403,9.026362353573589,01/12/2021 11:00AM
73071,3337,39,2856,01/11/2021,42656,78.23049512378094,0.9142910727681921,442,10.361965491372843,01/12/2021 11:00AM
73119,3127,31,2803,01/11/2021,32119,97.35670475419533,0.9651608082443414,293,9.122326348890065,01/12/2021 11:00AM
74464,3040,14,2464,01/11/2021,31404,96.80295503757483,0.4458030824098841,562,17.895809451025347,01/12/2021 11:00AM
73401,2963,13,2194,01/11/2021,35952,82.41544281263907,0.36159323542501115,756,21.02803738317757,01/12/2021 11:00AM
74820,2958,23,2494,01/11/2021,31480,93.96442185514613,0.7306226175349427,441,14.008894536213468,01/12/2021 11:00AM
73505,2956,31,2481,01/11/2021,48713,60.68195348264324,0.6363804323281259,444,9.114610063022193,01/12/2021 11:00AM
73159,2943,10,2609,01/11/2021,33816,87.02980837473386,0.2957180033120417,324,9.581263307310149,01/12/2021 11:00AM
73703,2861,15,2524,01/11/2021,30331,94.32593716000132,0.4945435363159803,322,10.616201246249712,01/12/2021 11:00AM
73012,2846,8,2478,01/11/2021,37639,75.61306092085337,0.21254549802067005,360,9.564547410930153,01/12/2021 11:00AM
73120,2760,36,2387,01/11/2021,35771,77.15747393139694,1.0064018338877863,337,9.421039389449554,01/12/2021 11:00AM
74011,2698,14,2308,01/11/2021,27969,96.46394222174551,0.5005541849905253,376,13.44345525403125,01/12/2021 11:00AM
74074,2698,11,2403,01/11/2021,32812,82.22601487260758,0.3352432037059612,284,8.655369986590273,01/12/2021 11:00AM
74017,2690,58,2231,01/11/2021,28375,94.80176211453745,2.0440528634361232,401,14.13215859030837,01/12/2021 11:00AM
74701,2649,21,2244,01/11/2021,25267,104.84030553686627,0.8311235999525072,384,15.197688684845845,01/12/2021 11:00AM
74403,2574,29,2106,01/11/2021,30573,84.19193405946423,0.9485493736303274,439,14.359075000817715,01/12/2021 11:00AM
74008,2528,16,2214,01/11/2021,28808,87.75340183282422,0.5554012774229381,298,10.344348792002222,01/12/2021 11:00AM
73701,2416,27,2171,01/11/2021,23646,102.17372917195297,1.141842172037554,218,9.219318277932842,01/12/2021 11:00AM
74136,2393,37,2098,01/11/2021,31835,75.16883932778389,1.1622428145123294,258,8.104287733626512,01/12/2021 11:00AM
73069,2381,14,2061,01/11/2021,24416,97.51802096985583,0.573394495412844,306,12.532765399737876,01/12/2021 11:00AM
74063,2368,23,1984,01/11/2021,31703,74.69324669589629,0.7254833927388575,361,11.386934990379459,01/12/2021 11:00AM
74501,2355,19,2048,01/11/2021,28016,84.05910908052542,0.6781838949171902,288,10.279840091376355,01/12/2021 11:00AM
73942,2351,18,2183,01/11/2021,13454,174.74357068529807,1.3378920767058122,150,11.149100639215103,01/12/2021 11:00AM
74137,2335,17,2005,01/11/2021,28241,82.68120817251513,0.6019616869091038,313,11.08317694132644,01/12/2021 11:00AM
73112,2241,19,1949,01/11/2021,33335,67.2266386680666,0.5699715014249288,273,8.189590520473976,01/12/2021 11:00AM
73110,2229,23,1843,01/11/2021,33383,66.77051193721354,0.688973429589911,363,10.87379804091903,01/12/2021 11:00AM
73533,2224,17,1860,01/11/2021,27582,80.63229642520486,0.61634399245885,347,12.580668551954172,01/12/2021 11:00AM
73162,2200,21,1957,01/11/2021,29747,73.95703768447238,0.7059535415336,222,7.462937439069486,01/12/2021 11:00AM
74037,2163,14,1906,01/11/2021,18419,117.43308540094468,0.7600846951517455,243,13.192898637276725,01/12/2021 11:00AM
73107,2116,9,1876,01/11/2021,25328,83.54390397978521,0.3553379658875553,231,9.120341124447252,01/12/2021 11:00AM
73109,2106,11,1894,01/11/2021,23144,90.99550639474593,0.4752851711026616,201,8.684756308330453,01/12/2021 11:00AM
74006,2092,44,1816,01/11/2021,27191,76.93722187488507,1.6181824868522674,232,8.532234930675592,01/12/2021 11:00AM
73521,2083,35,1883,01/11/2021,20676,100.74482491777907,1.6927839040433352,165,7.980266976204295,01/12/2021 11:00AM
73036,2073,13,1912,01/11/2021,20920,99.09177820267686,0.621414913957935,148,7.074569789674952,01/12/2021 11:00AM
74804,2069,18,1805,01/11/2021,20867,99.1517707384866,0.8626060286576892,246,11.788949058321752,01/12/2021 11:00AM
74066,2068,30,1795,01/11/2021,33041,62.58890469416785,0.9079628340546593,243,7.354498955842741,01/12/2021 11:00AM
74134,2059,10,1828,01/11/2021,16254,126.67651039744062,0.6152331733727083,221,13.596653131536852,01/12/2021 11:00AM
73064,2013,17,1772,01/11/2021,23526,85.56490691150216,0.7226047776927655,224,9.521380600187028,01/12/2021 11:00AM
73132,1998,23,1752,01/11/2021,28199,70.85357636795631,0.8156317599914891,223,7.908081846874002,01/12/2021 11:00AM
73129,1896,14,1685,01/11/2021,19764,95.93199757134184,0.7083586318558996,197,9.96761789111516,01/12/2021 11:00AM
74105,1890,18,1640,01/11/2021,25046,75.46115148127446,0.7186776331549948,232,9.262956160664377,01/12/2021 11:00AM
73127,1875,11,1646,01/11/2021,25134,74.60014323227502,0.43765417362934667,218,8.673509986472506,01/12/2021 11:00AM
73044,1873,9,1585,01/11/2021,23525,79.61742826780022,0.38257173219978746,279,11.859723698193411,01/12/2021 11:00AM
74801,1822,11,1573,01/11/2021,22194,82.09425970983149,0.495629449400739,238,10.72361899612508,01/12/2021 11:00AM
74019,1821,10,1570,01/11/2021,18185,100.13747594171019,0.5499037668408029,241,13.252680780863349,01/12/2021 11:00AM
73018,1788,22,1573,01/11/2021,20214,88.45354704660137,1.0883546057188087,193,9.547838131987731,01/12/2021 11:00AM
74021,1771,10,1489,01/11/2021,19907,88.96368111719495,0.5023358617571708,272,13.663535439795046,01/12/2021 11:00AM
74601,1765,13,1475,01/11/2021,19051,92.64605532517977,0.6823788777491995,277,14.539919164348328,01/12/2021 11:00AM
74075,1759,4,1543,01/11/2021,24891,70.66811297256035,0.16070065485516855,212,8.517134707323933,01/12/2021 11:00AM
73020,1740,10,1476,01/11/2021,23966,72.60285404322791,0.4172577818576316,254,10.598347659183844,01/12/2021 11:00AM
74354,1702,21,1516,01/11/2021,17926,94.94588865335267,1.1714827624679236,165,9.20450741939083,01/12/2021 11:00AM
