,ReportDate,Date,Zip,Cases,Deaths,Recovered
90,08/01/2020,08/02/2020 11:00AM,74114,141,4,119
91,08/01/2020,08/02/2020 11:00AM,73118,137,2,119
92,08/01/2020,08/02/2020 11:00AM,73020,137,2,111
93,08/01/2020,08/02/2020 11:00AM,74743,134,1,126
94,08/01/2020,08/02/2020 11:00AM,74820,130,0,103
95,08/01/2020,08/02/2020 11:00AM,74501,129,3,83
96,08/01/2020,08/02/2020 11:00AM,73503,123,1,121
97,08/01/2020,08/02/2020 11:00AM,73010,121,0,108
98,08/01/2020,08/02/2020 11:00AM,73169,117,1,96
99,08/01/2020,08/02/2020 11:00AM,74467,114,5,88
100,08/01/2020,08/02/2020 11:00AM,74003,114,8,98
101,08/01/2020,08/02/2020 11:00AM,74437,112,1,74
102,08/01/2020,08/02/2020 11:00AM,74804,112,5,73
103,08/01/2020,08/02/2020 11:00AM,74108,112,0,78
104,08/01/2020,08/02/2020 11:00AM,73601,111,0,75
105,08/01/2020,08/02/2020 11:00AM,73116,109,0,98
106,08/01/2020,08/02/2020 11:00AM,73533,107,0,85
107,08/01/2020,08/02/2020 11:00AM,74601,107,4,81
108,08/01/2020,08/02/2020 11:00AM,73044,106,0,86
109,08/01/2020,08/02/2020 11:00AM,73111,105,2,86
110,08/01/2020,08/02/2020 11:00AM,73945,105,0,103
111,08/01/2020,08/02/2020 11:00AM,73047,103,0,92
112,08/01/2020,08/02/2020 11:00AM,74955,102,1,57
113,08/01/2020,08/02/2020 11:00AM,73507,100,2,84
114,08/01/2020,08/02/2020 11:00AM,74401,100,2,66
115,08/01/2020,08/02/2020 11:00AM,73025,98,0,86
116,08/01/2020,08/02/2020 11:00AM,73075,96,1,82
117,08/01/2020,08/02/2020 11:00AM,73065,96,1,79
118,08/01/2020,08/02/2020 11:00AM,74116,96,0,81
119,08/01/2020,08/02/2020 11:00AM,73089,93,2,75
120,08/01/2020,08/02/2020 11:00AM,73068,92,1,70
121,08/01/2020,08/02/2020 11:00AM,74361,92,1,69
122,08/01/2020,08/02/2020 11:00AM,73179,92,1,69
123,08/01/2020,08/02/2020 11:00AM,74884,89,1,42
124,08/01/2020,08/02/2020 11:00AM,74126,87,0,71
125,08/01/2020,08/02/2020 11:00AM,74346,82,1,75
126,08/01/2020,08/02/2020 11:00AM,74604,79,4,61
127,08/01/2020,08/02/2020 11:00AM,74426,79,1,61
128,08/01/2020,08/02/2020 11:00AM,73134,78,1,60
129,08/01/2020,08/02/2020 11:00AM,73554,78,7,64
130,08/01/2020,08/02/2020 11:00AM,73128,73,0,60
131,08/01/2020,08/02/2020 11:00AM,73078,72,1,64
132,08/01/2020,08/02/2020 11:00AM,74848,72,1,30
133,08/01/2020,08/02/2020 11:00AM,74331,69,0,51
134,08/01/2020,08/02/2020 11:00AM,73446,69,0,46
135,08/01/2020,08/02/2020 11:00AM,73149,69,0,58
136,08/01/2020,08/02/2020 11:00AM,73102,68,0,37
137,08/01/2020,08/02/2020 11:00AM,73026,68,2,51
138,08/01/2020,08/02/2020 11:00AM,73096,66,0,59
139,08/01/2020,08/02/2020 11:00AM,74023,65,1,50
140,08/01/2020,08/02/2020 11:00AM,74432,65,0,49
141,08/01/2020,08/02/2020 11:00AM,74868,65,3,44
142,08/01/2020,08/02/2020 11:00AM,74120,62,0,53
143,08/01/2020,08/02/2020 11:00AM,74948,61,1,43
144,08/01/2020,08/02/2020 11:00AM,74015,61,0,47
145,08/01/2020,08/02/2020 11:00AM,74965,61,1,50
146,08/01/2020,08/02/2020 11:00AM,74352,59,0,50
147,08/01/2020,08/02/2020 11:00AM,73084,58,1,46
148,08/01/2020,08/02/2020 11:00AM,73103,57,0,47
149,08/01/2020,08/02/2020 11:00AM,74020,57,3,48
150,08/01/2020,08/02/2020 11:00AM,74857,56,0,45
151,08/01/2020,08/02/2020 11:00AM,74010,56,2,40
152,08/01/2020,08/02/2020 11:00AM,74434,54,3,46
153,08/01/2020,08/02/2020 11:00AM,74029,54,1,45
154,08/01/2020,08/02/2020 11:00AM,73052,53,2,44
155,08/01/2020,08/02/2020 11:00AM,74073,53,1,42
156,08/01/2020,08/02/2020 11:00AM,73750,52,0,36
157,08/01/2020,08/02/2020 11:00AM,74766,52,0,41
158,08/01/2020,08/02/2020 11:00AM,74301,51,0,44
159,08/01/2020,08/02/2020 11:00AM,73105,51,0,44
160,08/01/2020,08/02/2020 11:00AM,74525,51,0,43
161,08/01/2020,08/02/2020 11:00AM,74036,50,2,34
162,08/01/2020,08/02/2020 11:00AM,74953,49,0,29
163,08/01/2020,08/02/2020 11:00AM,73165,48,1,38
164,08/01/2020,08/02/2020 11:00AM,74365,47,1,33
165,08/01/2020,08/02/2020 11:00AM,73117,47,0,39
166,08/01/2020,08/02/2020 11:00AM,73448,47,0,45
167,08/01/2020,08/02/2020 11:00AM,73045,47,0,34
168,08/01/2020,08/02/2020 11:00AM,74058,47,0,36
169,08/01/2020,08/02/2020 11:00AM,74047,46,1,36
170,08/01/2020,08/02/2020 11:00AM,73009,46,8,38
171,08/01/2020,08/02/2020 11:00AM,74851,45,0,35
172,08/01/2020,08/02/2020 11:00AM,74103,45,0,34
173,08/01/2020,08/02/2020 11:00AM,73542,45,1,37
174,08/01/2020,08/02/2020 11:00AM,74339,44,0,39
175,08/01/2020,08/02/2020 11:00AM,74337,44,3,35
176,08/01/2020,08/02/2020 11:00AM,74571,44,1,24
177,08/01/2020,08/02/2020 11:00AM,74119,43,0,39
178,08/01/2020,08/02/2020 11:00AM,74039,43,2,35
179,08/01/2020,08/02/2020 11:00AM,73104,42,0,38
180,08/01/2020,08/02/2020 11:00AM,74445,40,0,24
181,08/01/2020,08/02/2020 11:00AM,74035,40,2,37
182,08/01/2020,08/02/2020 11:00AM,74053,40,0,31
183,08/01/2020,08/02/2020 11:00AM,74764,40,0,39
184,08/01/2020,08/02/2020 11:00AM,73049,40,1,29
185,08/01/2020,08/02/2020 11:00AM,74523,40,0,13
186,08/01/2020,08/02/2020 11:00AM,74338,39,1,35
187,08/01/2020,08/02/2020 11:00AM,74740,39,0,33
188,08/01/2020,08/02/2020 11:00AM,74730,39,0,27
189,08/01/2020,08/02/2020 11:00AM,74044,38,1,26
190,08/01/2020,08/02/2020 11:00AM,74937,38,0,20
191,08/01/2020,08/02/2020 11:00AM,73086,38,0,35
192,08/01/2020,08/02/2020 11:00AM,74130,38,1,30
193,08/01/2020,08/02/2020 11:00AM,74962,37,1,14
194,08/01/2020,08/02/2020 11:00AM,74421,37,0,25
195,08/01/2020,08/02/2020 11:00AM,74578,36,1,16
196,08/01/2020,08/02/2020 11:00AM,73173,36,0,32
197,08/01/2020,08/02/2020 11:00AM,74016,36,0,31
198,08/01/2020,08/02/2020 11:00AM,73949,36,0,30
199,08/01/2020,08/02/2020 11:00AM,74873,35,0,25
200,08/01/2020,08/02/2020 11:00AM,74059,34,0,30
201,08/01/2020,08/02/2020 11:00AM,74436,33,0,26
202,08/01/2020,08/02/2020 11:00AM,73141,33,0,31
203,08/01/2020,08/02/2020 11:00AM,73093,33,0,29
204,08/01/2020,08/02/2020 11:00AM,73644,33,1,22
205,08/01/2020,08/02/2020 11:00AM,74864,32,0,18
206,08/01/2020,08/02/2020 11:00AM,73529,32,1,29
207,08/01/2020,08/02/2020 11:00AM,74959,30,0,17
208,08/01/2020,08/02/2020 11:00AM,74048,30,1,28
209,08/01/2020,08/02/2020 11:00AM,74370,30,0,11
210,08/01/2020,08/02/2020 11:00AM,74441,30,0,15
211,08/01/2020,08/02/2020 11:00AM,73077,30,0,25
212,08/01/2020,08/02/2020 11:00AM,74056,29,0,21
213,08/01/2020,08/02/2020 11:00AM,73055,29,0,25
214,08/01/2020,08/02/2020 11:00AM,73801,28,0,23
215,08/01/2020,08/02/2020 11:00AM,74451,27,0,16
216,08/01/2020,08/02/2020 11:00AM,73121,27,0,21
217,08/01/2020,08/02/2020 11:00AM,74462,27,0,18
218,08/01/2020,08/02/2020 11:00AM,74834,27,1,22
219,08/01/2020,08/02/2020 11:00AM,74651,27,1,23
220,08/01/2020,08/02/2020 11:00AM,74079,26,0,20
221,08/01/2020,08/02/2020 11:00AM,73439,26,0,20
222,08/01/2020,08/02/2020 11:00AM,73538,26,0,24
223,08/01/2020,08/02/2020 11:00AM,74931,25,0,16
224,08/01/2020,08/02/2020 11:00AM,74131,25,0,21
225,08/01/2020,08/02/2020 11:00AM,74041,24,0,20
226,08/01/2020,08/02/2020 11:00AM,74859,24,0,15
227,08/01/2020,08/02/2020 11:00AM,73449,24,1,14
228,08/01/2020,08/02/2020 11:00AM,73527,24,0,20
229,08/01/2020,08/02/2020 11:00AM,73095,24,0,22
230,08/01/2020,08/02/2020 11:00AM,74051,24,1,21
231,08/01/2020,08/02/2020 11:00AM,73742,24,0,22
232,08/01/2020,08/02/2020 11:00AM,73762,24,0,20
233,08/01/2020,08/02/2020 11:00AM,74435,23,1,16
234,08/01/2020,08/02/2020 11:00AM,74342,23,0,19
235,08/01/2020,08/02/2020 11:00AM,73550,23,0,4
236,08/01/2020,08/02/2020 11:00AM,74883,22,0,9
237,08/01/2020,08/02/2020 11:00AM,74930,22,0,8
238,08/01/2020,08/02/2020 11:00AM,73030,22,0,15
239,08/01/2020,08/02/2020 11:00AM,74733,21,0,20
240,08/01/2020,08/02/2020 11:00AM,74637,21,0,17
241,08/01/2020,08/02/2020 11:00AM,73150,21,0,16
242,08/01/2020,08/02/2020 11:00AM,74729,20,0,15
243,08/01/2020,08/02/2020 11:00AM,74002,20,2,17
244,08/01/2020,08/02/2020 11:00AM,73054,20,0,16
245,08/01/2020,08/02/2020 11:00AM,73463,20,0,9
246,08/01/2020,08/02/2020 11:00AM,74343,19,0,10
247,08/01/2020,08/02/2020 11:00AM,74954,19,0,8
248,08/01/2020,08/02/2020 11:00AM,74536,19,0,17
249,08/01/2020,08/02/2020 11:00AM,74538,18,0,15
250,08/01/2020,08/02/2020 11:00AM,74964,18,0,16
251,08/01/2020,08/02/2020 11:00AM,74966,18,0,13
252,08/01/2020,08/02/2020 11:00AM,73131,18,0,15
253,08/01/2020,08/02/2020 11:00AM,74347,18,0,8
254,08/01/2020,08/02/2020 11:00AM,73145,18,0,18
255,08/01/2020,08/02/2020 11:00AM,73950,18,0,17
256,08/01/2020,08/02/2020 11:00AM,73057,18,0,16
257,08/01/2020,08/02/2020 11:00AM,73443,18,1,15
258,08/01/2020,08/02/2020 11:00AM,74902,17,0,9
259,08/01/2020,08/02/2020 11:00AM,74855,17,0,10
260,08/01/2020,08/02/2020 11:00AM,73006,17,0,13
261,08/01/2020,08/02/2020 11:00AM,73433,17,0,11
262,08/01/2020,08/02/2020 11:00AM,74547,17,0,12
263,08/01/2020,08/02/2020 11:00AM,73951,17,0,15
264,08/01/2020,08/02/2020 11:00AM,73038,17,0,13
265,08/01/2020,08/02/2020 11:00AM,74854,17,0,6
266,08/01/2020,08/02/2020 11:00AM,74022,17,0,11
267,08/01/2020,08/02/2020 11:00AM,74860,16,0,6
268,08/01/2020,08/02/2020 11:00AM,73007,16,0,16
269,08/01/2020,08/02/2020 11:00AM,74032,16,0,15
270,08/01/2020,08/02/2020 11:00AM,74455,16,1,9
271,08/01/2020,08/02/2020 11:00AM,74364,16,0,12
272,08/01/2020,08/02/2020 11:00AM,73526,15,0,7
273,08/01/2020,08/02/2020 11:00AM,73560,15,0,13
274,08/01/2020,08/02/2020 11:00AM,73059,14,0,9
275,08/01/2020,08/02/2020 11:00AM,74332,14,1,8
276,08/01/2020,08/02/2020 11:00AM,73098,14,1,11
277,08/01/2020,08/02/2020 11:00AM,73460,14,0,9
278,08/01/2020,08/02/2020 11:00AM,74454,14,0,13
279,08/01/2020,08/02/2020 11:00AM,73016,14,0,13
280,08/01/2020,08/02/2020 11:00AM,74631,14,0,11
281,08/01/2020,08/02/2020 11:00AM,74932,14,0,4
282,08/01/2020,08/02/2020 11:00AM,74736,14,0,14
283,08/01/2020,08/02/2020 11:00AM,73772,14,0,10
284,08/01/2020,08/02/2020 11:00AM,74849,13,1,9
285,08/01/2020,08/02/2020 11:00AM,73572,13,0,10
286,08/01/2020,08/02/2020 11:00AM,73151,13,0,13
287,08/01/2020,08/02/2020 11:00AM,74735,13,0,11
288,08/01/2020,08/02/2020 11:00AM,73939,13,0,13
289,08/01/2020,08/02/2020 11:00AM,74880,12,0,8
290,08/01/2020,08/02/2020 11:00AM,74431,12,0,10
291,08/01/2020,08/02/2020 11:00AM,74085,12,0,10
292,08/01/2020,08/02/2020 11:00AM,73737,12,0,10
293,08/01/2020,08/02/2020 11:00AM,74363,12,0,9
294,08/01/2020,08/02/2020 11:00AM,74840,12,0,6
295,08/01/2020,08/02/2020 11:00AM,74330,12,0,9
296,08/01/2020,08/02/2020 11:00AM,74061,12,0,12
297,08/01/2020,08/02/2020 11:00AM,73717,12,0,11
298,08/01/2020,08/02/2020 11:00AM,73040,12,0,8
299,08/01/2020,08/02/2020 11:00AM,73029,11,1,5
300,08/01/2020,08/02/2020 11:00AM,74470,11,0,4
301,08/01/2020,08/02/2020 11:00AM,74871,11,1,9
302,08/01/2020,08/02/2020 11:00AM,73002,11,0,10
303,08/01/2020,08/02/2020 11:00AM,73456,11,0,10
304,08/01/2020,08/02/2020 11:00AM,74726,10,0,9
305,08/01/2020,08/02/2020 11:00AM,73573,10,0,7
306,08/01/2020,08/02/2020 11:00AM,74358,10,0,9
307,08/01/2020,08/02/2020 11:00AM,74825,10,1,4
308,08/01/2020,08/02/2020 11:00AM,74574,10,0,6
309,08/01/2020,08/02/2020 11:00AM,74469,10,0,8
310,08/01/2020,08/02/2020 11:00AM,73662,10,0,7
311,08/01/2020,08/02/2020 11:00AM,74080,10,0,8
312,08/01/2020,08/02/2020 11:00AM,73017,10,0,7
313,08/01/2020,08/02/2020 11:00AM,74723,10,0,9
314,08/01/2020,08/02/2020 11:00AM,74653,9,0,8
315,08/01/2020,08/02/2020 11:00AM,74881,9,0,5
316,08/01/2020,08/02/2020 11:00AM,74072,9,0,7
317,08/01/2020,08/02/2020 11:00AM,74038,9,0,8
318,08/01/2020,08/02/2020 11:00AM,74028,9,1,6
319,08/01/2020,08/02/2020 11:00AM,73565,9,0,8
320,08/01/2020,08/02/2020 11:00AM,73651,9,0,9
321,08/01/2020,08/02/2020 11:00AM,73082,9,0,8
322,08/01/2020,08/02/2020 11:00AM,74865,9,0,8
323,08/01/2020,08/02/2020 11:00AM,74731,9,0,6
324,08/01/2020,08/02/2020 11:00AM,73570,9,0,5
325,08/01/2020,08/02/2020 11:00AM,73061,9,0,8
326,08/01/2020,08/02/2020 11:00AM,73541,9,0,6
327,08/01/2020,08/02/2020 11:00AM,74030,9,0,5
328,08/01/2020,08/02/2020 11:00AM,73453,9,0,9
329,08/01/2020,08/02/2020 11:00AM,73042,8,0,7
330,08/01/2020,08/02/2020 11:00AM,73028,8,0,7
331,08/01/2020,08/02/2020 11:00AM,73624,8,0,5
332,08/01/2020,08/02/2020 11:00AM,73447,8,0,8
333,08/01/2020,08/02/2020 11:00AM,73432,8,0,6
334,08/01/2020,08/02/2020 11:00AM,73932,8,0,8
335,08/01/2020,08/02/2020 11:00AM,74450,8,0,5
336,08/01/2020,08/02/2020 11:00AM,74557,8,0,8
337,08/01/2020,08/02/2020 11:00AM,74369,8,0,7
338,08/01/2020,08/02/2020 11:00AM,74647,8,1,5
339,08/01/2020,08/02/2020 11:00AM,74727,8,0,8
340,08/01/2020,08/02/2020 11:00AM,73543,8,0,5
341,08/01/2020,08/02/2020 11:00AM,73773,8,0,5
342,08/01/2020,08/02/2020 11:00AM,73015,8,0,4
343,08/01/2020,08/02/2020 11:00AM,74027,8,0,8
344,08/01/2020,08/02/2020 11:00AM,74556,7,0,7
345,08/01/2020,08/02/2020 11:00AM,74941,7,0,3
346,08/01/2020,08/02/2020 11:00AM,73628,7,0,6
347,08/01/2020,08/02/2020 11:00AM,73438,7,0,4
348,08/01/2020,08/02/2020 11:00AM,73074,7,0,7
349,08/01/2020,08/02/2020 11:00AM,73079,7,0,7
350,08/01/2020,08/02/2020 11:00AM,74944,7,0,6
351,08/01/2020,08/02/2020 11:00AM,74720,7,0,6
352,08/01/2020,08/02/2020 11:00AM,74956,7,0,6
353,08/01/2020,08/02/2020 11:00AM,74867,7,0,5
354,08/01/2020,08/02/2020 11:00AM,74741,7,0,6
355,08/01/2020,08/02/2020 11:00AM,73004,7,0,7
356,08/01/2020,08/02/2020 11:00AM,74054,7,0,5
357,08/01/2020,08/02/2020 11:00AM,74878,7,0,3
358,08/01/2020,08/02/2020 11:00AM,74452,7,0,1
359,08/01/2020,08/02/2020 11:00AM,73552,7,0,6
360,08/01/2020,08/02/2020 11:00AM,73566,7,0,6
361,08/01/2020,08/02/2020 11:00AM,73062,6,1,3
362,08/01/2020,08/02/2020 11:00AM,73768,6,0,6
