Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active
74012,1140,15,978,08/23/2020,62429,18.260744205417357,0.240272950071281,147
73119,949,10,806,08/23/2020,32119,29.54637442012516,0.31134219620785203,133
73942,890,7,871,08/23/2020,13454,66.15133045934294,0.5202913631633715,12
74133,808,5,695,08/23/2020,46067,17.539670479953113,0.108537564851195,108
74136,779,15,714,08/23/2020,31835,24.4699230406785,0.4711795193968902,50
73099,736,6,654,08/23/2020,68676,10.71698992369969,0.08736676568233444,76
73160,728,13,629,08/23/2020,59401,12.255685931213279,0.21885153448595143,86
73109,665,5,551,08/23/2020,23144,28.73314898029727,0.21603871413757345,109
73107,646,7,555,08/23/2020,25328,25.505369551484524,0.27637397346809855,84
74037,646,2,603,08/23/2020,18419,35.07247950485911,0.10858352787882079,41
73159,642,4,553,08/23/2020,33816,18.985095812633073,0.11828720132481665,85
73072,632,14,568,08/23/2020,46675,13.540439207284413,0.29994643813604716,50
74014,614,6,531,08/23/2020,40100,15.311720698254366,0.14962593516209474,77
73013,570,16,497,08/23/2020,52254,10.908255827305085,0.3061966548015463,57
73129,565,5,481,08/23/2020,19764,28.58733049989881,0.2529852256628213,79
74115,548,3,482,08/23/2020,23347,23.47196641966848,0.12849616653103182,63
73071,546,9,473,08/23/2020,42656,12.800075018754688,0.21099024756189047,64
74055,538,2,468,08/23/2020,45378,11.855965445810746,0.044074220988144036,68
74146,513,3,447,08/23/2020,16130,31.80409175449473,0.18598884066955984,63
73521,508,7,472,08/23/2020,20676,24.56954923582898,0.3385567808086671,29
74137,496,6,447,08/23/2020,28241,17.56311745334797,0.212457065967919,43
73112,488,11,421,08/23/2020,33335,14.63926803659817,0.32998350082495875,56
74017,487,18,356,08/23/2020,28375,17.162995594713657,0.6343612334801763,113
73120,477,13,405,08/23/2020,35771,13.334824299013167,0.36342288445947835,59
73127,474,4,420,08/23/2020,25134,18.858916209119123,0.15914697222885335,50
73170,472,12,396,08/23/2020,37699,12.520226000689673,0.3183108305260086,64
73108,464,0,399,08/23/2020,15156,30.614937978358405,0.0,65
74008,457,3,383,08/23/2020,28808,15.86364898639267,0.10413773951680089,71
74134,443,1,378,08/23/2020,16254,27.254829580410977,0.06152331733727083,64
74006,441,29,357,08/23/2020,27191,16.21860174322386,1.066529366334449,55
73034,435,1,382,08/23/2020,44647,9.743095840705983,0.022397921472887314,52
74011,424,5,367,08/23/2020,27969,15.15964103114162,0.17876935178233044,52
73012,418,0,392,08/23/2020,37639,11.10550227158001,0.0,26
74105,417,4,352,08/23/2020,25046,16.649365168090714,0.15970614070110997,61
74129,417,3,357,08/23/2020,19467,21.420866081060257,0.15410695022345508,57
74110,416,7,365,08/23/2020,14812,28.085336213880638,0.4725897920604915,44
74728,411,21,343,08/23/2020,11342,36.23699523893494,1.851525304179157,47
74464,408,2,308,08/23/2020,31404,12.991975544516622,0.06368615462998345,98
74074,401,2,336,08/23/2020,32812,12.221138607826404,0.06095330976472023,63
73069,395,8,340,08/23/2020,24416,16.177916120576672,0.32765399737876805,47
73701,380,4,254,08/23/2020,23646,16.070371310158166,0.1691618032648228,122
73132,363,4,301,08/23/2020,28199,12.872796907691763,0.14184900173765028,58
73162,362,10,301,08/23/2020,29747,12.16929438262682,0.3361683531112381,51
74501,360,11,275,08/23/2020,28016,12.849800114220445,0.39263278126784695,74
73503,353,1,163,08/23/2020,10882,32.43888990994302,0.09189487226612754,189
74128,352,4,314,08/23/2020,13005,27.066512879661666,0.30757400999615536,34
73139,352,6,309,08/23/2020,17563,20.04213403177134,0.341627284632466,37
74145,343,1,296,08/23/2020,18580,18.46071044133477,0.05382131324004306,46
74112,340,6,291,08/23/2020,20892,16.274171931839938,0.2871912693854107,43
74701,337,1,286,08/23/2020,25267,13.337554913523569,0.03957731428345273,50
74066,337,6,292,08/23/2020,33041,10.199449169214006,0.1815925668109319,39
73102,336,0,234,08/23/2020,4996,67.25380304243394,0.0,102
73110,329,5,262,08/23/2020,33383,9.855315579786119,0.14977683251954588,62
74135,329,10,290,08/23/2020,20849,15.780133339728525,0.47963931123794906,29
