Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
74012,1663,21,1491,10/01/2020,62429,26.63826106456935,0.3363821300997934,151,2.418747697384229,10/01/2020 11:00AM
73119,1331,16,1185,10/01/2020,32119,41.43964631526511,0.4981475139325633,130,4.047448550702076,10/01/2020 11:00AM
73942,1252,10,1121,10/01/2020,13454,93.05782666864873,0.7432733759476735,121,8.993607848966851,10/01/2020 11:00AM
74133,1224,8,1080,10/01/2020,46067,26.569995875572538,0.173660103761912,136,2.9522217639525037,10/01/2020 11:00AM
73072,1201,16,1069,10/01/2020,46675,25.731119442956615,0.3427959292983396,116,2.485270487412962,10/01/2020 11:00AM
73099,1191,6,956,10/01/2020,68676,17.342302987943388,0.08736676568233444,229,3.334498223542431,10/01/2020 11:00AM
74074,1096,4,962,10/01/2020,32812,33.40241375106668,0.12190661952944046,130,3.9619651347068148,10/01/2020 11:00AM
73160,1091,13,911,10/01/2020,59401,18.366694163397923,0.21885153448595143,167,2.8114004814733757,10/01/2020 11:00AM
73071,1016,9,880,10/01/2020,42656,23.81845461365341,0.21099024756189047,127,2.9773068267066765,10/01/2020 11:00AM
74136,1016,17,934,10/01/2020,31835,31.91455944714936,0.5340034553164756,65,2.0417779173865243,10/01/2020 11:00AM
73013,908,16,769,10/01/2020,52254,17.37666015998775,0.3061966548015463,123,2.353886783786887,10/01/2020 11:00AM
74014,908,7,806,10/01/2020,40100,22.643391521197007,0.17456359102244387,95,2.3690773067331667,10/01/2020 11:00AM
73109,889,7,792,10/01/2020,23144,38.411683373660566,0.30245419979260285,90,3.888696854476322,10/01/2020 11:00AM
73701,887,11,720,10/01/2020,23646,37.51162987397446,0.46519495897826274,156,6.597310327328089,10/01/2020 11:00AM
73841,880,1,260,10/01/2020,1329,662.1519939804365,0.7524454477050414,619,465.76373212942065,10/01/2020 11:00AM
74055,879,3,773,10/01/2020,45378,19.370620124289303,0.06611133148221605,103,2.269822380889418,10/01/2020 11:00AM
73069,877,9,765,10/01/2020,24416,35.91906946264744,0.368610747051114,103,4.218545216251638,10/01/2020 11:00AM
73159,865,6,747,10/01/2020,33816,25.5796072864916,0.177430801987225,112,3.3120416370948664,10/01/2020 11:00AM
74037,834,4,763,10/01/2020,18419,45.27933112546827,0.21716705575764159,67,3.637548183940496,10/01/2020 11:00AM
