Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
74012,2186,26,1930,11/01/2020,62429,35.015777923721345,0.416473113456887,230,3.6841852344263084,11/01/2020 11:00AM
73099,2045,8,1724,11/01/2020,68676,29.77750597006232,0.11648902090977925,313,4.557632943095113,11/01/2020 11:00AM
73072,1614,18,1431,11/01/2020,46675,34.57953936797001,0.385645420460632,165,3.535083020889127,11/01/2020 11:00AM
73160,1574,16,1333,11/01/2020,59401,26.49787040622212,0.2693557347519402,225,3.787815019949159,11/01/2020 11:00AM
74133,1567,14,1415,11/01/2020,46067,34.01567282436451,0.303905181583346,138,2.995636789892982,11/01/2020 11:00AM
73119,1557,24,1392,11/01/2020,32119,48.475979949562564,0.7472212708988448,141,4.389924966530714,11/01/2020 11:00AM
73942,1459,10,1366,11/01/2020,13454,108.44358555076556,0.7432733759476735,83,6.169169020365691,11/01/2020 11:00AM
73071,1401,25,1219,11/01/2020,42656,32.84414853713429,0.5860840210052514,157,3.6806076519129785,11/01/2020 11:00AM
73013,1350,18,1115,11/01/2020,52254,25.835342748880468,0.3444712366517396,217,4.152792130745972,11/01/2020 11:00AM
74074,1313,5,1236,11/01/2020,32812,40.01584786053883,0.15238327441180058,72,2.194319151529928,11/01/2020 11:00AM
73170,1280,18,1076,11/01/2020,37699,33.95315525610759,0.477466245789013,186,4.933817873153134,11/01/2020 11:00AM
74055,1263,4,1098,11/01/2020,45378,27.832870554012956,0.08814844197628807,161,3.547974789545595,11/01/2020 11:00AM
74136,1250,21,1132,11/01/2020,31835,39.26495994974085,0.6596513271556463,97,3.0469608920998903,11/01/2020 11:00AM
74014,1222,9,1072,11/01/2020,40100,30.473815461346632,0.22443890274314215,141,3.516209476309227,11/01/2020 11:00AM
73034,1216,3,1035,11/01/2020,44647,27.235872511030976,0.06719376441866194,178,3.9868300221739426,11/01/2020 11:00AM
73701,1195,18,1032,11/01/2020,23646,50.53708872536581,0.7612281146917026,145,6.132115368349827,11/01/2020 11:00AM
73069,1145,10,1037,11/01/2020,24416,46.89547837483617,0.40956749672346,98,4.013761467889909,11/01/2020 11:00AM
73703,1111,10,963,11/01/2020,30331,36.62919125647028,0.3296956908773202,138,4.549800534107019,11/01/2020 11:00AM
73159,1084,6,981,11/01/2020,33816,32.055831559025314,0.177430801987225,97,2.8684646321268037,11/01/2020 11:00AM
73109,1075,9,961,11/01/2020,23144,46.44832353957829,0.38886968544763223,105,4.536812996889042,11/01/2020 11:00AM
74464,1040,4,897,11/01/2020,31404,33.11680040759139,0.1273723092599669,139,4.426187746783849,11/01/2020 11:00AM
73521,1033,14,916,11/01/2020,20676,49.96130779647901,0.6771135616173342,103,4.98162120332753,11/01/2020 11:00AM
73107,1003,7,887,11/01/2020,25328,39.600442198357555,0.27637397346809855,109,4.303537586860392,11/01/2020 11:00AM
74037,1001,8,932,11/01/2020,18419,54.3460557033498,0.43433411151528317,61,3.311797600304034,11/01/2020 11:00AM
