Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
74012,1672,21,1504,10/02/2020,62429,26.78242483461212,0.3363821300997934,147,2.3546749106985536,10/02/2020 11:00AM
73119,1337,16,1194,10/02/2020,32119,41.62645163298982,0.4981475139325633,127,3.954045891839721,10/02/2020 11:00AM
73942,1256,10,1129,10/02/2020,13454,93.3551360190278,0.7432733759476735,117,8.69629849858778,10/02/2020 11:00AM
74133,1235,8,1087,10/02/2020,46067,26.808778518245163,0.173660103761912,140,3.03905181583346,10/02/2020 11:00AM
73099,1211,6,985,10/02/2020,68676,17.633525540217832,0.08736676568233444,220,3.2034480750189296,10/02/2020 11:00AM
73072,1210,16,1082,10/02/2020,46675,25.923942153186932,0.3427959292983396,112,2.3995715050883772,10/02/2020 11:00AM
74074,1109,4,973,10/02/2020,32812,33.798610264537366,0.12190661952944046,132,4.022918444471535,10/02/2020 11:00AM
73160,1096,13,921,10/02/2020,59401,18.450867830507903,0.21885153448595143,162,2.7272268143633944,10/02/2020 11:00AM
73071,1035,10,892,10/02/2020,42656,24.263878469617403,0.2344336084021005,133,3.117966991747937,10/02/2020 11:00AM
74136,1031,17,942,10/02/2020,31835,32.385738966546256,0.5340034553164756,72,2.261661693105073,10/02/2020 11:00AM
73013,917,16,786,10/02/2020,52254,17.54889577831362,0.3061966548015463,115,2.200788456386114,10/02/2020 11:00AM
74014,909,7,814,10/02/2020,40100,22.668329177057355,0.17456359102244387,88,2.1945137157107233,10/02/2020 11:00AM
73701,901,11,727,10/02/2020,23646,38.10369618540134,0.46519495897826274,163,6.893343483041529,10/02/2020 11:00AM
73109,893,7,799,10/02/2020,23144,38.58451434497062,0.30245419979260285,87,3.759073625993778,10/02/2020 11:00AM
73069,889,9,769,10/02/2020,24416,36.41055045871559,0.368610747051114,111,4.546199213630406,10/02/2020 11:00AM
74055,886,3,780,10/02/2020,45378,19.52487989774781,0.06611133148221605,103,2.269822380889418,10/02/2020 11:00AM
73841,879,2,514,10/02/2020,1329,661.3995485327314,1.5048908954100828,363,273.13769751693,10/02/2020 11:00AM
73159,868,6,757,10/02/2020,33816,25.668322687485215,0.177430801987225,105,3.1050390347764374,10/02/2020 11:00AM
73170,845,14,654,10/02/2020,37699,22.414387649539776,0.3713626356136767,177,4.695084750258627,10/02/2020 11:00AM
74037,845,4,768,10/02/2020,18419,45.87654052880178,0.21716705575764159,73,3.9632987675769584,10/02/2020 11:00AM
74464,827,4,670,10/02/2020,31404,26.334224939498153,0.1273723092599669,153,4.8719908291937335,10/02/2020 11:00AM
73107,826,6,746,10/02/2020,25328,32.612128869235626,0.2368919772583702,74,2.9216677195198986,10/02/2020 11:00AM
74017,785,42,618,10/02/2020,28375,27.665198237885463,1.4801762114537445,125,4.405286343612335,10/02/2020 11:00AM
73034,782,3,653,10/02/2020,44647,17.51517459179788,0.06719376441866194,126,2.822138105583802,10/02/2020 11:00AM
74137,775,7,705,10/02/2020,28241,27.442371020856204,0.24786657696257214,63,2.230799192663149,10/02/2020 11:00AM
73703,768,10,611,10/02/2020,30331,25.320629059378195,0.3296956908773202,147,4.846526655896607,10/02/2020 11:00AM
74463,750,2,737,10/02/2020,2145,349.65034965034965,0.9324009324009324,11,5.128205128205129,10/02/2020 11:00AM
73129,733,10,636,10/02/2020,19764,37.0876340821696,0.5059704513256426,87,4.40194292653309,10/02/2020 11:00AM
73521,730,10,626,10/02/2020,20676,35.30663571290385,0.4836525440123815,94,4.546333913716386,10/02/2020 11:00AM
74008,712,5,620,10/02/2020,28808,24.715356845320745,0.17356289919466816,87,3.019994445987226,10/02/2020 11:00AM
