Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,ACT_RATE,Date
74012,1474,19,1296,09/16/2020,62429,23.61082189367121,0.3043457367569559,159,2.5468932707555783,09/16/2020 11:00AM
73119,1150,13,1019,09/16/2020,32119,35.80435256390298,0.4047448550702077,118,3.6738379152526544,09/16/2020 11:00AM
73942,1086,8,969,09/16/2020,13454,80.71948862791734,0.5946187007581388,109,8.101679797829641,09/16/2020 11:00AM
74133,1050,6,925,09/16/2020,46067,22.79288861875095,0.130245077821434,119,2.583194043458441,09/16/2020 11:00AM
73072,1040,15,813,09/16/2020,46675,22.281735404392073,0.32137118371719336,212,4.542046063202999,09/16/2020 11:00AM
74136,936,16,839,09/16/2020,31835,29.40160201036595,0.5025914873566829,81,2.544369404743207,09/16/2020 11:00AM
73160,898,13,778,09/16/2020,59401,15.117590612952643,0.21885153448595143,107,1.8013164761536,09/16/2020 11:00AM
74074,892,2,674,09/16/2020,32812,27.185176155065218,0.06095330976472023,216,6.582957454589785,09/16/2020 11:00AM
73099,887,6,797,09/16/2020,68676,12.915720193371776,0.08736676568233444,84,1.2231347195526823,09/16/2020 11:00AM
73071,831,9,649,09/16/2020,42656,19.481432858214554,0.21099024756189047,173,4.055701425356339,09/16/2020 11:00AM
73109,811,7,705,09/16/2020,23144,35.04147943311441,0.30245419979260285,99,4.277566539923955,09/16/2020 11:00AM
74014,797,6,702,09/16/2020,40100,19.875311720698253,0.14962593516209474,89,2.2194513715710724,09/16/2020 11:00AM
73107,759,7,661,09/16/2020,25328,29.966835123183827,0.27637397346809855,91,3.592861655085281,09/16/2020 11:00AM
74463,747,2,692,09/16/2020,2145,348.25174825174827,0.9324009324009324,53,24.708624708624708,09/16/2020 11:00AM
73159,747,6,656,09/16/2020,33816,22.090134847409512,0.177430801987225,85,2.513603028152354,09/16/2020 11:00AM
74037,747,2,686,09/16/2020,18419,40.55594766273956,0.10858352787882079,59,3.2032140724252134,09/16/2020 11:00AM
74055,740,2,643,09/16/2020,45378,16.307461765613294,0.044074220988144036,95,2.0935254969368415,09/16/2020 11:00AM
73013,737,16,641,09/16/2020,52254,14.104183411796226,0.3061966548015463,80,1.5309832740077316,09/16/2020 11:00AM
73069,732,8,556,09/16/2020,24416,29.980340760157276,0.32765399737876805,168,6.8807339449541285,09/16/2020 11:00AM
