Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,Date
73453,12,0,12,08/24/2020,503,23.856858846918488,0.0,0,08/24/2020 11:00AM
73061,12,0,9,08/24/2020,1659,7.2332730560578655,0.0,3,08/24/2020 11:00AM
74647,12,1,9,08/24/2020,3586,3.3463469046291134,0.2788622420524261,2,08/24/2020 11:00AM
73552,12,0,11,08/24/2020,1512,7.936507936507936,0.0,1,08/24/2020 11:00AM
73624,12,0,10,08/24/2020,2335,5.139186295503212,0.0,2,08/24/2020 11:00AM
73632,12,0,6,08/24/2020,3337,3.596044351213665,0.0,6,08/24/2020 11:00AM
74027,12,0,9,08/24/2020,1060,11.320754716981131,0.0,3,08/24/2020 11:00AM
74574,12,0,11,08/24/2020,1264,9.49367088607595,0.0,1,08/24/2020 11:00AM
73450,12,0,4,08/24/2020,1344,8.928571428571429,0.0,8,08/24/2020 11:00AM
73074,11,0,8,08/24/2020,1095,10.045662100456621,0.0,3,08/24/2020 11:00AM
73568,11,2,5,08/24/2020,1060,10.377358490566037,1.8867924528301887,4,08/24/2020 11:00AM
73456,11,0,10,08/24/2020,2113,5.205868433506862,0.0,1,08/24/2020 11:00AM
74554,11,0,10,08/24/2020,1738,6.329113924050633,0.0,1,08/24/2020 11:00AM
73541,11,0,10,08/24/2020,2714,4.053058216654384,0.0,1,08/24/2020 11:00AM
74641,11,1,8,08/24/2020,637,17.26844583987441,1.5698587127158556,2,08/24/2020 11:00AM
73773,11,0,10,08/24/2020,2040,5.3921568627450975,0.0,1,08/24/2020 11:00AM
73570,11,0,11,08/24/2020,1083,10.156971375807942,0.0,0,08/24/2020 11:00AM
74731,11,0,8,08/24/2020,1438,7.64951321279555,0.0,3,08/24/2020 11:00AM
73932,11,0,9,08/24/2020,2304,4.774305555555556,0.0,2,08/24/2020 11:00AM
74723,10,0,9,08/24/2020,1399,7.147962830593281,0.0,1,08/24/2020 11:00AM
74944,10,0,9,08/24/2020,1195,8.368200836820083,0.0,1,08/24/2020 11:00AM
74951,10,0,7,08/24/2020,1307,7.651109410864575,0.0,3,08/24/2020 11:00AM
74358,10,0,10,08/24/2020,245,40.816326530612244,0.0,0,08/24/2020 11:00AM
74865,10,0,8,08/24/2020,1791,5.583472920156337,0.0,2,08/24/2020 11:00AM
74956,10,0,8,08/24/2020,1739,5.7504312823461765,0.0,2,08/24/2020 11:00AM
74565,10,0,9,08/24/2020,706,14.164305949008499,0.0,1,08/24/2020 11:00AM
74471,10,0,5,08/24/2020,1635,6.116207951070336,0.0,5,08/24/2020 11:00AM
74872,10,0,9,08/24/2020,3263,3.0646644192460926,0.0,1,08/24/2020 11:00AM
73663,10,0,6,08/24/2020,1384,7.22543352601156,0.0,4,08/24/2020 11:00AM
74734,10,0,6,08/24/2020,1157,8.64304235090752,0.0,4,08/24/2020 11:00AM
73004,10,0,8,08/24/2020,1013,9.871668311944719,0.0,2,08/24/2020 11:00AM
73459,10,0,6,08/24/2020,1063,9.40733772342427,0.0,4,08/24/2020 11:00AM
74425,10,0,8,08/24/2020,1448,6.906077348066298,0.0,2,08/24/2020 11:00AM
73432,9,0,7,08/24/2020,1141,7.887817703768623,0.0,2,08/24/2020 11:00AM
73848,9,0,7,08/24/2020,2408,3.737541528239203,0.0,2,08/24/2020 11:00AM
73566,9,0,7,08/24/2020,1862,4.833512352309345,0.0,2,08/24/2020 11:00AM
74081,9,0,6,08/24/2020,1823,4.936917169500823,0.0,3,08/24/2020 11:00AM
73628,9,1,7,08/24/2020,1655,5.438066465256798,0.6042296072507553,1,08/24/2020 11:00AM
73438,9,0,6,08/24/2020,3480,2.586206896551724,0.0,3,08/24/2020 11:00AM
74832,9,0,9,08/24/2020,902,9.977827050997782,0.0,0,08/24/2020 11:00AM
74963,9,0,7,08/24/2020,474,18.9873417721519,0.0,2,08/24/2020 11:00AM
74072,9,0,9,08/24/2020,1803,4.9916805324459235,0.0,0,08/24/2020 11:00AM
73565,9,0,8,08/24/2020,998,9.01803607214429,0.0,1,08/24/2020 11:00AM
74349,9,0,5,08/24/2020,312,28.846153846153847,0.0,4,08/24/2020 11:00AM
